Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
118;21101174247;"AI (Switzerland)";journal;"26732688";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,868;Q2;27;144;156;8597;1101;150;7,30;59,70;26,96;0;41;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2020-2025";"Artificial Intelligence (Q2)";"Computer Science"
119;24361;"Journal of Intelligent Information Systems";journal;"15737675, 09259902";"Springer Netherlands";No;No;0,865;Q2;68;116;189;5204;1010;186;4,91;44,86;30,85;0;21;Netherlands;Western Europe;"Springer Netherlands";"1992-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
120;21101178737;"Journal of Cybersecurity and Privacy";journal;"2624800X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,863;Q2;21;46;123;2708;779;121;6,54;58,87;19,73;0;8;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2021-2024";"Computer Science (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Computer Science"
121;19400157504;"IJCAI International Joint Conference on Artificial Intelligence";conference and proceedings;"10450823";"International Joint Conferences on Artificial Intelligence";No;No;0,848;-;187;1034;2438;39168;10100;2433;3,50;37,88;25,42;0;86;United States;Northern America;"International Joint Conferences on Artificial Intelligence";"1971, 1975, 1987, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2024";"Artificial Intelligence";"Computer Science"
122;21101024218;"Applied System Innovation";journal;"25715577";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,842;Q2;35;131;339;6812;2252;332;5,61;52,00;24,23;0;43;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2018-2024";"Applied Mathematics (Q1); Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Human-Computer Interaction (Q2); Information Systems (Q2)";"Computer Science; Engineering; Mathematics"
123;21101224040;"RAS Techniques and Instruments";journal;"27528200";"Oxford University Press";Yes;No;0,837;Q2;8;57;64;3942;153;62;2,39;69,16;27,97;0;2;United Kingdom;Western Europe;"Oxford University Press";"2022-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Astronomy and Astrophysics (Q2)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy"
124;21101023806;"Annals of Data Science";journal;"21985812, 21985804";"Springer Science and Business Media Deutschland GmbH";No;No;0,832;Q2;32;142;179;6081;1006;176;6,44;42,82;32,62;0;30;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2025";"Business, Management and Accounting (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
125;15703;"Knowledge and Information Systems";journal;"02191377, 02193116";"Springer London";No;No;0,827;Q2;100;266;427;15073;2006;427;4,95;56,67;27,78;0;29;United Kingdom;Western Europe;"Springer London";"1999-2025";"Artificial Intelligence (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
126;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";"Springer Nature";No;No;0,815;Q2;52;73;81;4285;462;81;5,34;58,70;28,13;6;12;Netherlands;Western Europe;"Springer Nature";"1992-1993, 1995-2025";"Law (Q1); Artificial Intelligence (Q2)";"Computer Science; Social Sciences"
127;21101142737;"Computational Urban Science";journal;"27306852";"Springer";Yes;Yes;0,803;Q2;14;48;111;2811;543;111;4,36;58,56;37,04;1;40;Singapore;Asiatic Region;"Springer";"2021-2025";"Urban Studies (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Environmental Science (miscellaneous) (Q2)";"Computer Science; Environmental Science; Social Sciences"
128;21100826426;"Internet of Things";book series;"21991073, 21991081";"Springer International Publishing AG";No;No;0,795;Q2;30;144;434;6782;714;1;1,68;47,10;0,00;0;54;Switzerland;Western Europe;"Springer International Publishing AG";"2014, 2016-2025";"Instrumentation (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Signal Processing (Q2)";"Computer Science; Physics and Astronomy"
129;21100833833;"Robotics";journal;"22186581";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,792;Q2;48;180;455;8723;2249;452;4,22;48,46;20,75;0;52;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2012-2025";"Control and Optimization (Q1); Mechanical Engineering (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering; Mathematics"
130;21100803572;"Systems Science and Control Engineering";journal;"21642583";"Taylor and Francis Ltd.";Yes;No;0,783;Q2;38;116;232;4638;938;230;5,14;39,98;28,85;0;30;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Control and Optimization (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering; Mathematics"
131;21101271431;"International Journal of Smart Grid";journal;"2602439X";"ilhami Colak";No;No;0,781;Q2;13;23;58;627;200;58;3,59;27,26;18,64;0;16;Turkey;Middle East;"ilhami Colak";"2021-2024";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy (miscellaneous) (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Energy; Engineering"
132;23673;"Applied Artificial Intelligence";journal;"10876545, 08839514";"Taylor and Francis Ltd.";Yes;No;0,780;Q2;70;140;390;6717;2193;390;5,89;47,98;28,51;0;29;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2025";"Artificial Intelligence (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
133;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"15730409, 09210296";"Springer Nature";No;No;0,768;Q2;105;170;732;7720;2878;696;3,36;45,41;19,38;0;37;Netherlands;Western Europe;"Springer Nature";"1988-2025";"Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
134;26529;"Fuzzy Sets and Systems";journal;"01650114";"Elsevier B.V.";No;No;0,754;Q2;191;197;832;7355;2335;828;2,70;37,34;28,23;0;4;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Logic (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
135;21101254074;"Intelligent Computing";journal;"27715892";"American Association for the Advancement of Science";Yes;Yes;0,743;Q2;9;34;55;2423;291;54;5,29;71,26;25,88;0;2;United States;Northern America;"American Association for the Advancement of Science";"2022-2024";"Computer Vision and Pattern Recognition (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering"
136;24185;"Expert Systems";journal;"14680394, 02664720";"Wiley-Blackwell Publishing Ltd";No;No;0,742;Q2;61;253;679;13864;3202;652;4,78;54,80;28,35;0;68;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1984-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Control and Systems Engineering (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
137;24157;"Autonomous Agents and Multi-Agent Systems";journal;"15737454, 13872532";"Springer Netherlands";No;No;0,738;Q2;82;49;146;2387;546;142;4,03;48,71;20,74;0;5;Netherlands;Western Europe;"Springer Netherlands";"1998-2025";"Artificial Intelligence (Q2)";"Computer Science"
138;24286;"International Journal of Approximate Reasoning";journal;"0888613X, 18734731";"Elsevier Inc.";No;No;0,731;Q2;116;163;452;8036;1543;440;3,44;49,30;24,89;0;2;United States;Northern America;"Elsevier Inc.";"1987-2025";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
139;21101039622;"Engineered Science";journal;"2576988X, 25769898";"Engineered Science Publisher";No;No;0,726;Q2;54;145;321;8626;2162;320;6,64;59,49;33,01;0;63;United States;Northern America;"Engineered Science Publisher";"2018-2025";"Engineering (miscellaneous) (Q1); Applied Mathematics (Q2); Artificial Intelligence (Q2); Chemistry (miscellaneous) (Q2); Energy Engineering and Power Technology (Q2); Materials Science (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry; Computer Science; Energy; Engineering; Materials Science; Mathematics"
140;21100868821;"Frontiers in Robotics and AI";journal;"22969144";"Frontiers Media SA";Yes;No;0,719;Q2;68;261;1050;12798;4122;965;3,09;49,03;24,58;1;63;Switzerland;Western Europe;"Frontiers Media SA";"2014-2025";"Artificial Intelligence (Q2); Computer Science Applications (Q2)";"Computer Science"
141;21101022413;"International Journal of Information Technology (Singapore)";journal;"25112104, 25112112";"Springer Science + Business Media";No;No;0,717;Q2;46;662;1065;22486;6477;1044;6,31;33,97;36,50;0;156;Singapore;Asiatic Region;"Springer Science + Business Media";"2017-2025";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)";"Computer Science; Engineering; Mathematics"
142;12358;"International Journal of Fuzzy Systems";journal;"15622479, 21993211";"Springer International Publishing AG";No;No;0,714;Q2;67;283;599;12068;2560;592;4,47;42,64;29,65;0;40;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
143;21101150734;"Journal of Artificial Intelligence and Technology";journal;"27668649";"Intelligence Science and Technology Press Inc.";No;No;0,712;Q2;19;39;82;1360;560;77;9,38;34,87;32,35;0;15;United States;Northern America;"Intelligence Science and Technology Press Inc.";"2021-2024";"Artificial Intelligence (Q2)";"Computer Science"
144;24306;"Digital Signal Processing: A Review Journal";journal;"10954333, 10512004";"Elsevier Inc.";No;No;0,704;Q2;96;415;1105;18842;4297;1100;3,83;45,40;28,56;1;20;United States;Northern America;"Elsevier Inc.";"1991-2025";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
145;21100935201;"ACM Transactions on Cyber-Physical Systems";journal;"23789638, 2378962X";"Association for Computing Machinery (ACM)";No;No;0,698;Q2;27;47;111;2343;380;105;3,65;49,85;19,79;0;15;United States;Northern America;"Association for Computing Machinery (ACM)";"2017-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Control and Optimization (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2)";"Computer Science; Mathematics"
146;19700177336;"International Journal of Machine Learning and Cybernetics";journal;"1868808X, 18688071";"Springer Science + Business Media";No;No;0,694;Q2;73;475;730;24813;2890;725;3,80;52,24;32,98;1;48;United States;Northern America;"Springer Science + Business Media";"2010-2025";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2)";"Computer Science"
147;21101041933;"IET Collaborative Intelligent Manufacturing";journal;"25168398";"John Wiley &amp; Sons Inc.";Yes;No;0,693;Q2;17;39;76;1756;304;72;3,58;45,03;25,77;0;19;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2025";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Industrial and Manufacturing Engineering (Q2)";"Computer Science; Engineering"
148;24774;"Knowledge Engineering Review";journal;"14698005, 02698889";"Cambridge University Press";No;No;0,688;Q2;73;10;31;725;122;29;2,16;72,50;30,95;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1984, 1987-2025";"Artificial Intelligence (Q2); Software (Q2)";"Computer Science"
149;24173;"Connection Science";journal;"13600494, 09540091";"Taylor and Francis A.S.";Yes;No;0,681;Q2;52;48;283;2458;1327;281;4,83;51,21;29,82;0;7;United Kingdom;Western Europe;"Taylor and Francis A.S.";"1989-2025";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
150;19294;"Journal of Scheduling";journal;"10946136";"Springer New York";No;No;0,676;Q2;69;50;120;1931;240;114;2,13;38,62;22,37;0;2;United States;Northern America;"Springer New York";"1998-2025";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering"
151;21101049065;"International Journal of Interactive Multimedia and Artificial Intelligence";journal;"19891660";"Universidad Internacional de la Rioja";Yes;Yes;0,672;Q2;27;50;217;2945;709;202;3,35;58,90;26,49;0;9;Spain;Western Europe;"Universidad Internacional de la Rioja";"2019-2024";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
152;24806;"Neural Processing Letters";journal;"13704621, 1573773X";"Springer Netherlands";No;No;0,672;Q2;72;244;1075;10668;3943;1065;3,58;43,72;31,29;0;8;Netherlands;Western Europe;"Springer Netherlands";"1994-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Software (Q2); Neuroscience (miscellaneous) (Q3)";"Computer Science; Neuroscience"
153;11700154734;"Swarm Intelligence";journal;"19353820, 19353812";"Springer New York";No;No;0,651;Q2;47;16;41;767;147;38;3,88;47,94;31,82;0;0;United States;Northern America;"Springer New York";"2008-2025";"Artificial Intelligence (Q2)";"Computer Science"
154;21101058018;"Journal of Physics: Complexity";journal;"2632072X";"IOP Publishing Ltd.";Yes;No;0,641;Q2;19;83;206;4451;521;205;2,08;53,63;20,50;0;15;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2020-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science"
155;21101192898;"Journal of Soft Computing and Data Mining";journal;"2716621X";"Penerbit UTHM";No;No;0,641;Q2;10;35;48;1200;258;48;0,94;34,29;29,00;0;11;Malaysia;Asiatic Region;"Penerbit UTHM";"2020-2024";"Artificial Intelligence (Q2); Information Systems and Management (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Decision Sciences; Mathematics"
156;28380;"Natural Language Engineering";journal;"14698110, 13513249";"Cambridge University Press";No;No;0,639;Q2;66;39;131;1958;551;128;3,03;50,21;46,28;0;1;United Kingdom;Western Europe;"Cambridge University Press";"1995-2024";"Linguistics and Language (Q1); Artificial Intelligence (Q2); Software (Q2)";"Computer Science; Social Sciences"
157;23629;"AI Magazine";journal;"07384602";"John Wiley and Sons Inc";No;No;0,634;Q2;89;60;129;2324;464;111;3,86;38,73;31,70;0;14;United States;Northern America;"John Wiley and Sons Inc";"1984-1986, 1989-2025";"Artificial Intelligence (Q2)";"Computer Science"
158;21101013582;"IEEE Transactions on Games";journal;"24751510, 24751502";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,626;Q2;56;123;184;3907;588;179;3,16;31,76;21,71;0;8;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2018-2025";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
159;21101078232;"Journal of Computational Social Science";journal;"24322717, 24322725";"Springer Nature";No;No;0,625;Q2;24;99;145;5978;446;145;3,07;60,38;35,27;1;37;Singapore;Asiatic Region;"Springer Nature";"2018-2025";"Artificial Intelligence (Q2); Transportation (Q2)";"Computer Science; Social Sciences"
160;19900191732;"Argument and Computation";journal;"19462166, 19462174";"SAGE Publications Ltd";Yes;No;0,622;Q2;27;11;39;486;87;36;1,40;44,18;28,00;0;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2010-2024";"Linguistics and Language (Q1); Artificial Intelligence (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2)";"Computer Science; Mathematics; Social Sciences"
161;21101144505;"Data and Policy";journal;"26323249";"Cambridge University Press";Yes;No;0,622;Q2;15;83;113;4854;373;113;2,93;58,48;37,30;1;46;United Kingdom;Western Europe;"Cambridge University Press";"2020-2025";"Social Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science (miscellaneous) (Q2); Public Administration (Q2)";"Computer Science; Social Sciences"
162;21100199837;"Frontiers in Neurorobotics";journal;"16625218";"Frontiers Media SA";Yes;No;0,618;Q2;56;145;723;6610;2324;661;3,01;45,59;31,97;0;26;Switzerland;Western Europe;"Frontiers Media SA";"2007-2025";"Artificial Intelligence (Q2); Biomedical Engineering (Q2)";"Computer Science; Engineering"
163;21100210905;"i-Perception";journal;"20416695";"SAGE Publications Ltd";Yes;No;0,618;Q2;42;53;171;2191;331;170;1,33;41,34;38,79;0;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"2010-2025";"Artificial Intelligence (Q2); Ophthalmology (Q2); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
164;21100236214;"ACM/IEEE International Conference on Human-Robot Interaction";conference and proceedings;"21672148";"IEEE Computer Society";No;No;0,618;-;82;414;738;12802;2077;726;2,80;30,92;41,27;2;60;United States;Northern America;"IEEE Computer Society";"2013-2024";"Artificial Intelligence; Electrical and Electronic Engineering; Human-Computer Interaction";"Computer Science; Engineering"
165;24354;"Journal of Automated Reasoning";journal;"15730670, 01687433";"Springer Netherlands";No;No;0,616;Q2;64;24;110;1268;163;106;1,23;52,83;14,29;0;0;Netherlands;Western Europe;"Springer Netherlands";"1985-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Software (Q2)";"Computer Science"
166;14500154734;"Evolutionary Intelligence";journal;"18645917, 18645909";"Springer Verlag";No;No;0,609;Q2;44;226;447;11089;1794;441;4,13;49,07;26,84;0;53;Germany;Western Europe;"Springer Verlag";"2008-2025";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Mathematics (miscellaneous) (Q2); Cognitive Neuroscience (Q3)";"Computer Science; Mathematics; Neuroscience"
167;28424;"Theory and Practice of Logic Programming";journal;"14753081, 14710684";"Cambridge University Press";No;No;0,609;Q2;52;37;122;1361;207;114;1,54;36,78;17,17;0;0;United Kingdom;Western Europe;"Cambridge University Press";"2001-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
168;12981;"Kybernetes";journal;"0368492X";"Emerald Publishing";No;No;0,606;Q2;59;571;570;40528;2542;564;4,41;70,98;38,41;0;264;United Kingdom;Western Europe;"Emerald Publishing";"1972-2025";"Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics; Social Sciences"
169;12886;"Cognitive Systems Research";journal;"13890417, 22144366";"Elsevier B.V.";No;No;0,604;Q2;73;93;179;5824;641;175;3,42;62,62;28,63;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1999-2025";"Artificial Intelligence (Q2); Software (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Computer Science; Neuroscience; Psychology"
170;21100821307;"Applied Computational Intelligence and Soft Computing";journal;"16879724, 16879732";"John Wiley and Sons Ltd";Yes;No;0,602;Q2;26;33;130;1707;661;129;4,74;51,73;25,47;0;12;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2016-2024";"Computational Mechanics (Q1); Artificial Intelligence (Q2); Civil and Structural Engineering (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2)";"Computer Science; Engineering"
171;21100396641;"Proceedings International Conference on Automated Planning and Scheduling, ICAPS";conference and proceedings;"23340835, 23340843";"Association for the Advancement of Artificial Intelligence";No;No;0,601;-;41;83;246;2441;513;241;2,01;29,41;20,85;0;3;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2014-2024";"Artificial Intelligence; Computer Science Applications; Information Systems and Management";"Computer Science; Decision Sciences"
172;21101189039;"Artificial Intelligence Surgery";journal;"27710408";"OAE Publishing Inc.";No;No;0,594;Q2;4;35;24;1584;48;16;2,00;45,26;24,24;0;8;United States;Northern America;"OAE Publishing Inc.";"2023-2024";"Artificial Intelligence (Q2); Biomedical Engineering (Q2); Surgery (Q2)";"Computer Science; Engineering; Medicine"
173;21101063730;"IET Smart Cities";journal;"26317680";"John Wiley and Sons Inc";Yes;No;0,588;Q2;19;27;66;1125;226;58;3,00;41,67;21,49;0;26;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2019-2025";"Urban Studies (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering; Social Sciences"
174;21101060462;"Results in Control and Optimization";journal;"26667207";"Elsevier B.V.";Yes;No;0,586;Q2;19;165;233;7384;998;233;4,43;44,75;24,68;0;69;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
175;23737;"Computational Intelligence";journal;"08247935, 14678640";"Wiley-Blackwell Publishing Ltd";No;No;0,578;Q2;60;98;228;4457;981;221;3,33;45,48;30,25;0;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2025";"Artificial Intelligence (Q2); Computational Mathematics (Q2)";"Computer Science; Mathematics"
176;21101254818;"EAI Endorsed Transactions on AI and Robotics";journal;"27907511";"European Alliance for Innovation";No;No;0,578;Q2;11;24;36;1098;158;36;4,39;45,75;27,45;0;9;Belgium;Western Europe;"European Alliance for Innovation";"2022-2025";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
177;23678;"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM";journal;"08900604, 14691760";"Cambridge University Press";No;No;0,574;Q2;62;27;89;1453;259;86;2,97;53,81;21,11;0;11;United Kingdom;Western Europe;"Cambridge University Press";"1987-2025";"Artificial Intelligence (Q2); Industrial and Manufacturing Engineering (Q2)";"Computer Science; Engineering"
178;21101063736;"IFAC Journal of Systems and Control";journal;"24686018";"Elsevier B.V.";No;No;0,569;Q2;16;55;68;2101;173;68;2,08;38,20;17,44;0;8;United Kingdom;Western Europe;"Elsevier B.V.";"2017-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
179;130113;"Cognitive Processing";journal;"16124782, 16124790";"Springer Verlag";No;No;0,568;Q2;56;94;159;5460;299;158;1,68;58,09;46,86;1;5;Germany;Western Europe;"Springer Verlag";"2005-2025";"Artificial Intelligence (Q2); Medicine (miscellaneous) (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
180;21100912216;"IET Cyber-Physical Systems: Theory and Applications";journal;"23983396";"John Wiley &amp; Sons Inc.";Yes;No;0,567;Q2;23;40;62;1548;153;59;1,34;38,70;30,00;0;11;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2016-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)";"Computer Science; Engineering"
181;21101083109;"SN Computer Science";journal;"2662995X, 26618907";"Springer";No;No;0,565;Q2;49;1164;1667;49496;6977;1664;2,38;42,52;29,56;0;354;Singapore;Asiatic Region;"Springer";"2020-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2)";"Computer Science"
182;21101052917;"Mathematical Foundations of Computing";journal;"25778838";"American Institute of Mathematical Sciences";Yes;No;0,563;Q3;11;40;111;1128;138;110;1,30;28,20;39,62;0;2;United States;Northern America;"American Institute of Mathematical Sciences";"2019-2025";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
183;144749;"International Journal of Advanced Robotic Systems";journal;"17298806";"SAGE Publications Inc.";Yes;No;0,562;Q3;70;70;243;2325;760;243;2,65;33,21;29,18;0;9;United Kingdom;Western Europe;"SAGE Publications Inc.";"2004-2025";"Computer Science Applications (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science"
184;24822;"Pattern Analysis and Applications";journal;"1433755X, 14337541";"Springer London";No;No;0,559;Q3;66;153;303;6963;1039;301;2,65;45,51;30,54;0;18;United Kingdom;Western Europe;"Springer London";"1998-2025";"Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3)";"Computer Science"
185;21101124068;"Iraqi Journal for Computer Science and Mathematics";journal;"27887421, 29580544";"College of Education, Al-Iraqia University";Yes;No;0,557;Q3;19;82;104;3623;658;102;6,63;44,18;31,11;0;19;Iraq;Middle East;"College of Education, Al-Iraqia University";"2020-2024";"Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Statistics and Probability (Q2); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
186;21101152520;"Robotic Intelligence and Automation";journal;"27546977, 27546969";"Emerald Publishing";No;No;0,557;Q3;53;67;178;2974;483;176;3,06;44,39;28,14;0;13;United Kingdom;Western Europe;"Emerald Publishing";"2023-2025";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q3)";"Computer Science; Engineering"
187;21101199351;"Intelligence and Robotics";journal;"27703541";"OAE Publishing Inc.";No;No;0,556;Q3;10;22;67;927;204;65;2,81;42,14;30,91;0;5;United States;Northern America;"OAE Publishing Inc.";"2021-2025";"Artificial Intelligence (Q3)";"Computer Science"
188;18078;"Robotica";journal;"02635747, 14698668";"Cambridge University Press";No;No;0,556;Q3;78;241;561;9871;1669;559;3,10;40,96;24,21;0;52;United Kingdom;Western Europe;"Cambridge University Press";"1983-2025";"Computational Mechanics (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Mathematics (miscellaneous) (Q2); Mechanical Engineering (Q2); Modeling and Simulation (Q2); Rehabilitation (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering; Mathematics; Medicine"
